rand_index,pmid,title,abstract,journal,classification
0.829565877,28146230,A Framework to Improve Surgeon Communication in High-Stakes Surgical Decisions: Best Case/Worst Case,"  Importance  Although many older adults prefer to avoid burdensome interventions with limited ability to preserve their functional status, aggressive treatments, including surgery, are common near the end of life. Shared decision making is critical to achieve value-concordant treatment decisions and minimize unwanted care. However, communication in the acute inpatient setting is challenging.    Objective  To evaluate the proof of concept of an intervention to teach surgeons to use the Best Case/Worst Case framework as a strategy to change surgeon communication and promote shared decision making during high-stakes surgical decisions.    Design, Setting, and Participants  Our prospective pre-post study was conducted from June 2014 to August 2015 and data were analyzed using a mixed methods approach. The data were drawn from decision-making conversations between 32 older inpatients with an acute nonemergent surgical problem, 30 family members, and 25 surgeons at 1 tertiary care hospital in Madison, Wisconsin.    Intervention  A 2-hour training session to teach each study-enrolled surgeon to use the Best Case/Worst Case communication framework.    Main Outcome and Measures  We scored conversation transcripts using OPTION 5, an observer measure of shared decision making, and used qualitative content analysis to characterize patterns in conversation structure, description of outcomes and deliberation over treatment alternatives.    Results  The study participants were patients aged 68 to 95 years (n=32), 44% of whom had 5 or more comorbid conditions; family members of patients (n=30); and surgeons (n=17). The median OPTION 5 score improved from 41 pre-intervention (interquartile range 26–66) to 74 after Best Case/Worst Case training (interquartile range 60–81). Before training, surgeons described the patient’s problem in conjunction with an operative solution, directed deliberation over options, listed discrete procedural risks and did not integrate preferences into a treatment recommendation. After training, surgeons using Best Case/Worst Case clearly presented a choice between treatments, described a range of postoperative trajectories including functional decline and involved patients and families in deliberation.    Conclusions and Relevance  Using the Best Case/Worst Case framework changed surgeon communication by shifting the focus of decision-making conversations from an isolated surgical problem to a discussion about treatment alternatives and outcomes. This intervention can help surgeons structure challenging conversations to promote shared decision making in the acute setting.  ",JAMA surgery,CLINIC
0.128556562,20852893,Rare variation at the  TNFAIP3  locus and susceptibility to rheumatoid arthritis,"Genome-wide association studies (GWAS) conducted using commercial single nucleotide polymorphisms (SNP) arrays have proven to be a powerful tool for the detection of common disease susceptibility variants. However, their utility for the detection of lower frequency variants is yet to be practically investigated. Here we describe the application of a rare variant collapsing method to a large genome-wide SNP dataset, the Wellcome Trust Case Control Consortium rheumatoid arthritis (RA) GWAS. We partitioned the data into gene-centric bins and collapsed genotypes of low frequency variants (defined here as MAF ≤0.05) into a single count coupled with univariate analysis. We then prioritised gene regions for further investigation in an independent cohort of 3,355 cases and 2,427 controls based on rare variant signal p value and prior evidence to support involvement in RA. A total of 14,536 gene bins were investigated in the primary analysis and signals mapping to the TNFAIP3 and chr17q24 loci were selected for further investigation. We detected replicating association to low frequency variants in the TNFAIP3 gene (combined p = 6.6 × 10 −6 ). Even though rare variants are not well-represented and can be difficult to genotype in GWAS, our study supports the application of low frequency variant collapsing methods to genome-wide SNP datasets as a means of exploiting data that are routinely ignored. Electronic supplementary material The online version of this article (doi:10.1007/s00439-010-0889-1) contains supplementary material, which is available to authorized users.",Human genetics,POPGENE
0.074662427,20468059,No Association of the Serotonin Transporter Polymorphisms 5-HTTLPR and rs25531 with Schizophrenia or Neurocognition,,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",POPGENE
0.31552506,31457644,Palladacycle-Catalyzed Triple Suzuki Coupling Strategy for the Synthesis of Anthracene-Based OLED Emitters,The development of the site-selective Suzuki–Miyaura cross-coupling of dibromoanthracene as an efficient strategy toward organic light emitting diodes (OLEDs) is disclosed in this article. An unprecedented step-economic palladacycle-promoted triple Suzuki coupling protocol allowed the synthesis of three new OLED emitters and could prove to be a useful general strategy for researchers working in this field. Characterization of the synthesized molecules by UV–vis spectroscopy and thermogravimetric analysis–differential scanning calorimetry followed by density functional theory studies of the different properties strongly confirms the derivatives possess more significant hole mobility character than electron transfer capability.,ACS omega,CHEM
0.288309291,25325012,Hidden Treasures in “Ancient” Microarrays: Gene-Expression Portrays Biology and Potential Resistance Pathways of Major Lung Cancer Subtypes and Normal Tissue,"Objective: Novel statistical methods and increasingly more accurate gene annotations can transform “old” biological data into a renewed source of knowledge with potential clinical relevance. Here, we provide an in silico proof-of-concept by extracting novel information from a high-quality mRNA expression dataset, originally published in 2001, using state-of-the-art bioinformatics approaches. Methods: The dataset consists of histologically defined cases of lung adenocarcinoma (AD), squamous (SQ) cell carcinoma, small-cell lung cancer, carcinoid, metastasis (breast and colon AD), and normal lung specimens (203 samples in total). A battery of statistical tests was used for identifying differential gene expressions, diagnostic and prognostic genes, enriched gene ontologies, and signaling pathways. Results: Our results showed that gene expressions faithfully recapitulate immunohistochemical subtype markers, as chromogranin A in carcinoids, cytokeratin 5, p63 in SQ, and TTF1 in non-squamous types. Moreover, biological information with putative clinical relevance was revealed as potentially novel diagnostic genes for each subtype with specificity 93–100% (AUC = 0.93–1.00). Cancer subtypes were characterized by (a) differential expression of treatment target genes as TYMS , HER2 , and HER3 and (b) overrepresentation of treatment-related pathways like cell cycle, DNA repair, and ERBB pathways. The vascular smooth muscle contraction, leukocyte trans-endothelial migration, and actin cytoskeleton pathways were overexpressed in normal tissue. Conclusion: Reanalysis of this public dataset displayed the known biological features of lung cancer subtypes and revealed novel pathways of potentially clinical importance. The findings also support our hypothesis that even old omics data of high quality can be a source of significant biological information when appropriate bioinformatics methods are used.",Frontiers in oncology,ONCO
0.067217884,22145867,Direct production of biodiesel from high-acid value  Jatropha  oil with solid acid catalyst derived from lignin,"Background Solid acid catalyst was prepared from Kraft lignin by chemical activation with phosphoric acid, pyrolysis and sulfuric acid. This catalyst had high acid density as characterized by scanning electron microscope (SEM), energy-dispersive x-ray spectrometry (EDX) and Brunauer, Emmett, and Teller (BET) method analyses. It was further used to catalyze the esterification of oleic acid and one-step conversion of non-pretreated Jatropha oil to biodiesel. The effects of catalyst loading, reaction temperature and oil-to-methanol molar ratio, on the catalytic activity of the esterification were investigated. Results The highest catalytic activity was achieved with a 96.1% esterification rate, and the catalyst can be reused three times with little deactivation under optimized conditions. Biodiesel production from Jatropha oil was studied under such conditions. It was found that 96.3% biodiesel yield from non-pretreated Jatropha oil with high-acid value (12.7 mg KOH/g) could be achieved. Conclusions The catalyst can be easily separated for reuse. This single-step process could be a potential route for biodiesel production from high-acid value oil by simplifying the procedure and reducing costs.",Biotechnology for biofuels,ENG
0.690651605,24037122,Ultrathin conformal devices for precise and continuous thermal characterization of human skin," Precision thermometry of the skin can, together with other measurements, provide clinically relevant information about cardiovascular health, cognitive state, malignancy and many other important aspects of human physiology. Here, we introduce an ultrathin, compliant skin-like sensor/actuator technology that can pliably laminate onto the epidermis to provide continuous, accurate thermal characterizations that are unavailable with other methods. Examples include non-invasive spatial mapping of skin temperature with millikelvin precision, and simultaneous quantitative assessment of tissue thermal conductivity. Such devices can also be implemented in ways that reveal the time-dynamic influence of blood flow and perfusion on these properties. Experimental and theoretical studies establish the underlying principles of operation, and define engineering guidelines for device design. Evaluation of subtle variations in skin temperature associated with mental activity, physical stimulation and vasoconstriction/dilation along with accurate determination of skin hydration through measurements of thermal conductivity represent some important operational examples. ",Nature materials,ENG
0.512266553,23408743,"Social exclusion, infant behavior, social isolation, and maternal expectations independently predict maternal depressive symptoms","The objective of the study was to identify latent variables that can be used to inform theoretical models of perinatal influences on postnatal depressed mood and maternal–infant attachment. A routine survey of mothers with newborn infants was commenced in South Western Sydney in 2000. The survey included the Edinburgh Postnatal Depression Scale (EPDS) and 46 psychosocial and health-related variables. Mothers ( n = 15,389) delivering in 2002 and 2003 were surveyed at 2–3 weeks for depressive symptoms. Nonlinear principal components analysis was undertaken to identify dimensions that might represent latent variables. Correlations between latent variables and EPDS >12 were assessed by logistic regression. A five-dimension solution was identified, which accounted for 51% of the variance among the items studied. The five dimensions identified were maternal responsiveness, social exclusion, infant behavior, migrant social isolation, and family size. In addition, the variable maternal expectation contributed significantly to total variance and was included in the regression analysis. Regression on EPDS >12 was predictive for all variables except for maternal responsiveness, which was considered an outcome variable. The findings are consistent with the proposition that social exclusion, infant behavior, social isolation among migrant mothers, and maternal expectations are determinants of maternal mood.",Brain and behavior,PSYCH
0.365156859,22348295,Endogenous Testosterone Levels Are Associated With Assessments of Unfavourable Health Information," The purpose of this study was to investigate whether participants’ assessments of unfavourable health information are associated with individual differences in basal testosterone. Testosterone has previously been related to assessments of threat in social and other domains. Fifty-two undergraduate males were tested for a minor, fictitious medical condition (‘TAA deficiency’) in a paradigm that was developed to examine the thoughts and behaviours of individuals who have just received unfavourable medical news. In a variation on the classic paradigm, all participants were told that they had ‘TAA deficiency,’ after which they rated the seriousness and prevalence of that condition as well as 19 other actual conditions. Higher testosterone levels were significantly correlated with lower estimates of both the seriousness and prevalence of TAA deficiency as well as lower median seriousness and prevalence estimates of the 19 actual conditions. Findings are discussed in light of current research in the field of behavioural endocrinology. This study provides preliminary evidence that individual differences in assessments of threatening health information may be associated with neurobiological characteristics. ",Psychology & health,PSYCH
0.856743267,20360314,Prevalence of Incompletely Penetrant Huntington’s Disease Alleles Among Individuals With Major Depressive Disorder,"  Objective  Presymptomatic individuals with the Huntingtin ( HTT ) CAG expansion mutation that causes Huntington’s disease may have higher levels of depressive symptoms than healthy comparison populations. However, the prevalence of HTT CAG repeat expansions among individuals diagnosed with major depressive disorder has not been established.    Method  This was a case-control genetic association study of HTT CAG allele size in two discovery cohorts of individuals with major depressive disorder and comparison subjects without major depression as well as a replication cohort of individuals with major depression and comparison subjects without major depression.    Results  CAG repeat lengths of 36 or greater were observed in six of 3,054 chromosomes from individuals with major depression, compared with none of 4,155 chromosomes from comparison subjects. In a third cohort, one expanded allele was observed among 1,202 chromosomes in the major depression group, compared with none of 2,678 chromosomes in comparison subjects. No clear pattern of clinical features was shared among individuals with the expanded repeats.    Conclusions  In clinical populations of individuals diagnosed with major depression, approximately 3 in 1,000 carried expanded HTT CAG alleles.  ",The American journal of psychiatry,POPGENE
0.466084729,24002687,Observations of evidence-based medicine in general practice,"No objective measures are available for assessing the practice of evidence-based medicine (EBM) in general practitioner (GP) trainees, as there is no description of the EBM behaviour that is expected from trainees. As a first step to do so, we aimed to identify which expressions of EBM (defined as the integration of evidence, clinical experience and patient situation) can be observed in daily GP practice. Secondly, we aimed to identify which considerations GPs had regarding EBM but did not share with the patient during consultations. We performed a qualitative study, in which GPs were observed during and interviewed after clinical consultations, with a focus on expressions and considerations related to EBM during clinical decision-making. We observed 147 consultations by 34 GPs (17 trainers and 17 trainees). EBM behaviour was rarely visible in GPs’ decision-making. When interviewing the GPs, we found that aspects of EBM that played a role in decision-making were not discussed with the patient. Explicit consideration of all aspects of EBM would make EBM measurable and GPs more aware of the foundations of their decisions. EBM behaviour is difficult to observe during GP consultations and therefore cannot be assessed through observations alone.",Perspectives on medical education,CLINIC
0.648540518,30804973,"Iron and Phosphate Deficiency Regulators Concertedly Control Coumarin Profiles in  Arabidopsis thaliana  Roots During Iron, Phosphate, and Combined Deficiencies","Plants face varying nutrient conditions, to which they have to adapt to. Adaptive responses are nutrient-specific and strategies to ensure supply and homeostasis for one nutrient might be opposite to another one, as shown for phosphate (P i ) and iron (Fe) deficiency responses, where many genes are regulated in an opposing manner. This was also observed on the metabolite levels. Whereas root and exudate levels of catechol-type coumarins, phenylpropanoid-derived 2-benzopyranones, which facilitate Fe acquisition, are elevated after Fe deficiency, they are decreased after P i deficiency. Exposing plants to combined P i and Fe deficiency showed that the generation of coumarin profiles in Arabidopsis thaliana roots by P i deficiency considerably depends on the availability of Fe. Similarly, the effect of Fe deficiency on coumarin profiles is different at low compared to high P i availability. These findings suggest a fine-tuning of coumarin profiles, which depends on Fe and P i availability. T-DNA insertion lines exhibiting aberrant expression of genes involved in the regulation of P i starvation responses ( PHO1, PHR1, bHLH32, PHL1, SPX1 ) and Fe starvation responses ( BRUTUS, PYE, bHLH104, FIT ) were used to analyze the regulation of the generation of coumarin profiles in Arabidopsis thaliana roots by P i , Fe, and combined P i and Fe deficiency. The analysis revealed a role of several Fe-deficiency response regulators in the regulation of Fe and of P i deficiency-induced coumarin profiles as well as for P i deficiency response regulators in the regulation of P i and of Fe deficiency-induced coumarin profiles. Additionally, the regulation of Fe deficiency-induced coumarin profiles by Fe deficiency response regulators is influenced by P i availability. Conversely, regulation of P i deficiency-induced coumarin profiles by P i deficiency response regulators is modified by Fe availability.",Frontiers in plant science,ANIMAL
